category,subcategory,merchant_name,amount,transaction_type,description,frequency,day_of_month,typical_hour,min_income,max_income,age_group,city_tier,lifestyle,is_emi,is_subscription,is_fraud_pattern,fraud_type,seasonal_tag
food,dining,Swiggy,322.0,DEBIT,Swiggy — Food,random,,22,10000.0,50000.0,28-35,2,budget,False,False,False,,
entertainment,leisure,PVR Cinemas,496.0,DEBIT,PVR Cinemas — Entertainment,random,,14,16000.0,100000.0,28-35,2,moderate,False,False,False,,
shopping,retail,Ajio,1551.0,DEBIT,Ajio — Shopping,random,,12,60000.0,375000.0,35-45,2,premium,False,False,False,,
transport,mobility,Shell Petrol Pump,562.0,DEBIT,Shell Petrol Pump — Transport,random,,10,10000.0,50000.0,28-35,3,budget,False,False,False,,
utility,bills,ACT Fibernet,1202.0,DEBIT,ACT Fibernet — Utilities,monthly,12,21,16000.0,100000.0,22-28,3,moderate,False,False,False,,
shopping,retail,Myntra,1155.0,DEBIT,Myntra — Shopping,random,,11,16000.0,100000.0,35-45,2,moderate,False,False,False,,
transport,mobility,Ola Cabs,213.0,DEBIT,Ola Cabs — Transport,random,,17,60000.0,375000.0,35-45,1,premium,False,False,False,,
entertainment,leisure,Steam Purchase,1708.0,DEBIT,Steam Purchase — Entertainment,random,,14,32000.0,187500.0,45-55,2,premium,False,False,False,,
fraud,duplicate_charge,Swiggy,6493.0,DEBIT,Duplicate charge pattern,random,,18,20000.0,96000.0,28-35,1,moderate,False,False,True,duplicate,
food,dining,Blinkit,601.0,DEBIT,Blinkit — Groceries,random,,12,16000.0,100000.0,28-35,2,moderate,False,False,False,,
health,wellness,Apollo Pharmacy,237.0,DEBIT,Apollo Pharmacy — Health,random,,12,16000.0,100000.0,22-28,3,moderate,False,False,False,,
emi,home_loan,ICICI HOME FINANCE,53175.0,DEBIT,Home loan EMI NACH,monthly,3,6,38500.0,247500.0,35-45,3,premium,True,False,False,,
transport,mobility,Rapido,113.0,DEBIT,Rapido — Transport,random,,13,32000.0,187500.0,28-35,2,premium,False,False,False,,
festival,diwali,Local Sweet Shop,15420.0,DEBIT,Seasonal spend (diwali),seasonal,,19,40000.0,195000.0,45-55,1,premium,False,False,False,,diwali
entertainment,leisure,Steam Purchase,798.0,DEBIT,Steam Purchase — Entertainment,random,,12,16000.0,100000.0,35-45,2,moderate,False,False,False,,
festival,new_year,MakeMyTrip NY Travel,5620.0,DEBIT,Seasonal spend (new_year),seasonal,,13,20000.0,104000.0,35-45,1,moderate,False,False,False,,new_year
transport,mobility,Metro Recharge DMRC,374.0,DEBIT,Metro Recharge DMRC — Transport,random,,11,16000.0,100000.0,28-35,2,moderate,False,False,False,,
subscription,ott_or_saas,Times Prime,1048.0,DEBIT,Auto-debit subscription renewal,monthly,4,17,40000.0,180000.0,28-35,2,premium,False,True,False,,
misc,general,Urban Company,962.0,DEBIT,Urban Company — Utilities,random,,12,32000.0,187500.0,28-35,1,premium,False,False,False,,
emi,bike_loan,BAJAJ FINSERV TWO WHEELER,3885.0,DEBIT,Bike loan EMI NACH,monthly,14,9,19600.0,126000.0,22-28,1,moderate,True,False,False,,
misc,general,Insurance LIC Premium,5565.0,DEBIT,Insurance LIC Premium — Bills,random,,14,16000.0,100000.0,28-35,1,moderate,False,False,False,,
transport,mobility,Metro Recharge DMRC,222.0,DEBIT,Metro Recharge DMRC — Transport,random,,15,32000.0,187500.0,28-35,2,premium,False,False,False,,
food,dining,Starbucks India,521.0,DEBIT,Starbucks India — Food,random,,13,32000.0,187500.0,35-45,2,premium,False,False,False,,
entertainment,leisure,PVR Cinemas,1331.0,DEBIT,PVR Cinemas — Entertainment,random,,20,10000.0,50000.0,22-28,2,budget,False,False,False,,
transport,mobility,Metro Recharge DMRC,358.0,DEBIT,Metro Recharge DMRC — Transport,random,,21,32000.0,187500.0,28-35,1,premium,False,False,False,,
food,dining,Dunzo Daily,841.0,DEBIT,Dunzo Daily — Groceries,random,,11,32000.0,187500.0,35-45,1,premium,False,False,False,,
income,salary,Salary Credit — ICICI Bank,64867.0,CREDIT,Monthly salary NEFT,monthly,5,1,34000.0,92000.0,22-28,1,moderate,False,False,False,,
subscription,ott_or_saas,YouTube Premium India,129.0,DEBIT,Auto-debit subscription renewal,monthly,12,18,40000.0,180000.0,35-45,1,premium,False,True,False,,
utility,bills,MSEDCL Bill Pay,2997.0,DEBIT,MSEDCL Bill Pay — Utilities,monthly,21,20,32000.0,187500.0,45-55,1,premium,False,False,False,,
food,dining,Dunzo Daily,734.0,DEBIT,Dunzo Daily — Groceries,random,,20,32000.0,187500.0,28-35,2,premium,False,False,False,,
transport,mobility,Shell Petrol Pump,733.0,DEBIT,Shell Petrol Pump — Transport,random,,14,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Starbucks India,551.0,DEBIT,Starbucks India — Food,random,,15,16000.0,100000.0,28-35,1,moderate,False,False,False,,
emi,personal_loan,PAYSENSE EMI,9564.0,DEBIT,Personal loan EMI NACH,monthly,6,11,22400.0,144000.0,28-35,2,premium,True,False,False,,
shopping,retail,Amazon India,14201.0,DEBIT,Amazon India — Shopping,random,,12,16000.0,100000.0,28-35,3,moderate,False,False,False,,
shopping,retail,Ajio,3754.0,DEBIT,Ajio — Shopping,random,,10,10000.0,50000.0,28-35,2,budget,False,False,False,,
emi,bike_loan,BAJAJ FINSERV TWO WHEELER,3944.0,DEBIT,Bike loan EMI NACH,monthly,10,8,19600.0,126000.0,45-55,1,moderate,True,False,False,,
entertainment,leisure,Steam Purchase,1423.0,DEBIT,Steam Purchase — Entertainment,random,,13,16000.0,100000.0,35-45,2,moderate,False,False,False,,
subscription,ott_or_saas,Apple Music India,103.0,DEBIT,Auto-debit subscription renewal,monthly,8,15,40000.0,180000.0,45-55,2,premium,False,True,False,,
festival,new_year,MakeMyTrip NY Travel,2498.0,DEBIT,Seasonal spend (new_year),seasonal,,20,20000.0,104000.0,35-45,1,moderate,False,False,False,,new_year
entertainment,leisure,BookMyShow,1848.0,DEBIT,BookMyShow — Entertainment,random,,18,10000.0,50000.0,22-28,2,budget,False,False,False,,
entertainment,leisure,Insider.in Events,1909.0,DEBIT,Insider.in Events — Entertainment,random,,21,10000.0,50000.0,22-28,2,budget,False,False,False,,
emi,car_loan,BAJAJ AUTO FINANCE,23457.0,DEBIT,Car loan EMI NACH,monthly,4,6,31499.0,202500.0,45-55,1,moderate,True,False,False,,
shopping,retail,Reliance Digital,21294.0,DEBIT,Reliance Digital — Shopping,random,,12,60000.0,375000.0,45-55,2,premium,False,False,False,,
transport,mobility,Metro Recharge DMRC,274.0,DEBIT,Metro Recharge DMRC — Transport,random,,13,60000.0,375000.0,35-45,1,premium,False,False,False,,
food,dining,Thali House Indiranagar,367.0,DEBIT,Thali House Indiranagar — Food,random,,17,10000.0,50000.0,22-28,3,budget,False,False,False,,
entertainment,leisure,Steam Purchase,1021.0,DEBIT,Steam Purchase — Entertainment,random,,20,10000.0,50000.0,28-35,2,budget,False,False,False,,
festival,diwali,Myntra Diwali Sale,20770.0,DEBIT,Seasonal spend (diwali),seasonal,,13,20000.0,104000.0,22-28,2,moderate,False,False,False,,diwali
food,dining,BigBasket,1903.0,DEBIT,BigBasket — Groceries,random,,21,60000.0,375000.0,35-45,1,premium,False,False,False,,
food,dining,Starbucks India,270.0,DEBIT,Starbucks India — Food,random,,15,16000.0,100000.0,28-35,1,moderate,False,False,False,,
misc,general,Urban Company,967.0,DEBIT,Urban Company — Utilities,random,,22,10000.0,50000.0,22-28,3,budget,False,False,False,,
food,dining,Starbucks India,648.0,DEBIT,Starbucks India — Food,random,,14,10000.0,50000.0,22-28,2,budget,False,False,False,,
income,salary,Salary Credit — HCL Tech,44163.0,CREDIT,Monthly salary NEFT,monthly,4,9,34000.0,92000.0,35-45,2,moderate,False,False,False,,
shopping,retail,Nykaa,2847.0,DEBIT,Nykaa — Shopping,random,,22,16000.0,100000.0,22-28,1,moderate,False,False,False,,
entertainment,leisure,Insider.in Events,1293.0,DEBIT,Insider.in Events — Entertainment,random,,10,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Chai Point,194.0,DEBIT,Chai Point — Food,random,,15,16000.0,100000.0,35-45,2,moderate,False,False,False,,
food,dining,Starbucks India,524.0,DEBIT,Starbucks India — Food,random,,10,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,Chai Point,74.0,DEBIT,Chai Point — Food,random,,22,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,BigBasket,1906.0,DEBIT,BigBasket — Groceries,random,,21,16000.0,100000.0,22-28,2,moderate,False,False,False,,
transport,mobility,Shell Petrol Pump,1639.0,DEBIT,Shell Petrol Pump — Transport,random,,14,10000.0,50000.0,22-28,2,budget,False,False,False,,
income,salary,Salary Credit — Zomato,30155.0,CREDIT,Monthly salary NEFT,monthly,4,8,21250.0,46000.0,28-35,3,budget,False,False,False,,
entertainment,leisure,Steam Purchase,3177.0,DEBIT,Steam Purchase — Entertainment,random,,14,16000.0,100000.0,35-45,1,moderate,False,False,False,,
shopping,retail,Ajio,2932.0,DEBIT,Ajio — Shopping,random,,20,60000.0,375000.0,35-45,1,premium,False,False,False,,
food,dining,Zomato,279.0,DEBIT,Zomato — Food,random,,9,16000.0,100000.0,35-45,1,moderate,False,False,False,,
food,dining,Dunzo Daily,497.0,DEBIT,Dunzo Daily — Groceries,random,,14,32000.0,187500.0,35-45,1,premium,False,False,False,,
food,dining,Zepto,545.0,DEBIT,Zepto — Groceries,random,,19,60000.0,375000.0,45-55,2,premium,False,False,False,,
transport,mobility,Ola Cabs,468.0,DEBIT,Ola Cabs — Transport,random,,13,16000.0,100000.0,35-45,2,moderate,False,False,False,,
fraud,one_rupee_trap,UNKNOWN UPI VERIFY,1.0,DEBIT,Verification debit,random,,15,20000.0,96000.0,28-35,2,moderate,False,False,True,one_rupee_trap,
utility,bills,Airtel Prepaid,677.0,DEBIT,Airtel Prepaid — Recharge,monthly,27,13,16000.0,100000.0,28-35,3,moderate,False,False,False,,
food,dining,Zomato,536.0,DEBIT,Zomato — Food,random,,9,32000.0,187500.0,45-55,1,premium,False,False,False,,
transport,mobility,Uber India,381.0,DEBIT,Uber India — Transport,random,,13,10000.0,50000.0,22-28,3,budget,False,False,False,,
transport,mobility,Metro Recharge DMRC,469.0,DEBIT,Metro Recharge DMRC — Transport,random,,10,32000.0,187500.0,45-55,2,premium,False,False,False,,
food,dining,Swiggy,338.0,DEBIT,Swiggy — Food,random,,10,60000.0,375000.0,45-55,2,premium,False,False,False,,
food,dining,Blinkit,722.0,DEBIT,Blinkit — Groceries,random,,22,10000.0,50000.0,28-35,2,budget,False,False,False,,
emi,car_loan,ICICI AUTO LOAN,29573.0,DEBIT,Car loan EMI NACH,monthly,7,7,31499.0,202500.0,22-28,1,premium,True,False,False,,
subscription,ott_or_saas,Times Prime,1048.0,DEBIT,Auto-debit subscription renewal,monthly,7,9,40000.0,180000.0,45-55,1,premium,False,True,False,,
income,salary,Salary Credit — Flipkart,136985.0,CREDIT,Monthly salary NEFT,monthly,4,0,68000.0,172500.0,35-45,1,premium,False,False,False,,
emi,personal_loan,PAYSENSE EMI,17318.0,DEBIT,Personal loan EMI NACH,monthly,8,10,22400.0,144000.0,28-35,1,moderate,True,False,False,,
utility,bills,ACT Fibernet,976.0,DEBIT,ACT Fibernet — Utilities,monthly,15,17,16000.0,100000.0,28-35,1,moderate,False,False,False,,
misc,general,Mutual Fund SIP HDFC,7075.0,DEBIT,Mutual Fund SIP HDFC — Investment,random,,21,16000.0,100000.0,35-45,2,moderate,False,False,False,,
food,dining,Swiggy,348.0,DEBIT,Swiggy — Food,random,,21,10000.0,50000.0,22-28,2,budget,False,False,False,,
shopping,retail,Croma Retail,4332.0,DEBIT,Croma Retail — Shopping,random,,22,10000.0,50000.0,22-28,3,budget,False,False,False,,
subscription,ott_or_saas,Netflix India,551.0,DEBIT,Auto-debit subscription renewal,monthly,17,18,20000.0,96000.0,35-45,2,moderate,False,True,False,,
food,dining,Dunzo Daily,1034.0,DEBIT,Dunzo Daily — Groceries,random,,17,10000.0,50000.0,22-28,2,budget,False,False,False,,
subscription,ott_or_saas,Netflix India,551.0,DEBIT,Auto-debit subscription renewal,monthly,23,11,20000.0,96000.0,28-35,2,moderate,False,True,False,,
entertainment,leisure,BookMyShow,1894.0,DEBIT,BookMyShow — Entertainment,random,,22,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Chai Point,105.0,DEBIT,Chai Point — Food,random,,19,32000.0,187500.0,28-35,1,premium,False,False,False,,
health,wellness,Thyrocare Labs,3534.0,DEBIT,Thyrocare Labs — Health,random,,21,32000.0,187500.0,35-45,2,premium,False,False,False,,
transport,mobility,HPCL Fuel,1089.0,DEBIT,HPCL Fuel — Transport,random,,21,32000.0,187500.0,45-55,1,premium,False,False,False,,
shopping,retail,Reliance Digital,5582.0,DEBIT,Reliance Digital — Shopping,random,,20,32000.0,187500.0,35-45,1,premium,False,False,False,,
festival,diwali,Local Sweet Shop,12319.0,DEBIT,Seasonal spend (diwali),seasonal,,19,12500.0,52000.0,22-28,3,budget,False,False,False,,diwali
health,wellness,Apollo Pharmacy,981.0,DEBIT,Apollo Pharmacy — Health,random,,16,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,Chai Point,192.0,DEBIT,Chai Point — Food,random,,13,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Reliance Digital,6450.0,DEBIT,Reliance Digital — Shopping,random,,10,60000.0,375000.0,35-45,1,premium,False,False,False,,
utility,bills,Adani Electricity Mumbai,3677.0,DEBIT,Adani Electricity Mumbai — Utilities,monthly,1,18,32000.0,187500.0,45-55,2,premium,False,False,False,,
entertainment,leisure,PVR Cinemas,1724.0,DEBIT,PVR Cinemas — Entertainment,random,,10,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,Zomato,556.0,DEBIT,Zomato — Food,random,,19,16000.0,100000.0,28-35,3,moderate,False,False,False,,
festival,diwali,Local Sweet Shop,10367.0,DEBIT,Seasonal spend (diwali),seasonal,,18,20000.0,104000.0,22-28,1,moderate,False,False,False,,diwali
food,dining,Blinkit,1039.0,DEBIT,Blinkit — Groceries,random,,19,32000.0,187500.0,28-35,1,premium,False,False,False,,
transport,mobility,Metro Recharge DMRC,590.0,DEBIT,Metro Recharge DMRC — Transport,random,,13,16000.0,100000.0,22-28,1,moderate,False,False,False,,
food,dining,Zepto,813.0,DEBIT,Zepto — Groceries,random,,16,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Croma Retail,8244.0,DEBIT,Croma Retail — Shopping,random,,15,32000.0,187500.0,35-45,1,premium,False,False,False,,
misc,general,Insurance LIC Premium,14155.0,DEBIT,Insurance LIC Premium — Bills,random,,14,32000.0,187500.0,28-35,1,premium,False,False,False,,
food,dining,Blinkit,845.0,DEBIT,Blinkit — Groceries,random,,21,60000.0,375000.0,35-45,2,premium,False,False,False,,
transport,mobility,Shell Petrol Pump,1089.0,DEBIT,Shell Petrol Pump — Transport,random,,18,32000.0,187500.0,45-55,1,premium,False,False,False,,
food,dining,BigBasket,1618.0,DEBIT,BigBasket — Groceries,random,,19,16000.0,100000.0,35-45,2,moderate,False,False,False,,
shopping,retail,Reliance Digital,5206.0,DEBIT,Reliance Digital — Shopping,random,,12,16000.0,100000.0,28-35,1,moderate,False,False,False,,
subscription,ott_or_saas,Sony LIV,313.0,DEBIT,Auto-debit subscription renewal,monthly,8,14,20000.0,96000.0,22-28,1,moderate,False,True,False,,
food,dining,Starbucks India,366.0,DEBIT,Starbucks India — Food,random,,15,32000.0,187500.0,28-35,1,premium,False,False,False,,
emi,bike_loan,HERO FINCORP EMI,6059.0,DEBIT,Bike loan EMI NACH,monthly,2,7,19600.0,126000.0,22-28,3,moderate,True,False,False,,
entertainment,leisure,Steam Purchase,631.0,DEBIT,Steam Purchase — Entertainment,random,,21,10000.0,50000.0,28-35,3,budget,False,False,False,,
transport,mobility,Rapido,74.0,DEBIT,Rapido — Transport,random,,16,16000.0,100000.0,28-35,2,moderate,False,False,False,,
transport,mobility,HPCL Fuel,979.0,DEBIT,HPCL Fuel — Transport,random,,15,16000.0,100000.0,28-35,2,moderate,False,False,False,,
misc,general,Insurance LIC Premium,11840.0,DEBIT,Insurance LIC Premium — Bills,random,,14,32000.0,187500.0,28-35,2,premium,False,False,False,,
transport,mobility,Rapido,139.0,DEBIT,Rapido — Transport,random,,11,16000.0,100000.0,35-45,2,moderate,False,False,False,,
health,wellness,PharmEasy,1698.0,DEBIT,PharmEasy — Health,random,,11,16000.0,100000.0,35-45,1,moderate,False,False,False,,
shopping,retail,Flipkart,7206.0,DEBIT,Flipkart — Shopping,random,,14,32000.0,187500.0,45-55,1,premium,False,False,False,,
shopping,retail,Amazon India,17794.0,DEBIT,Amazon India — Shopping,random,,15,16000.0,100000.0,22-28,2,moderate,False,False,False,,
fraud,duplicate_charge,Flipkart,6981.0,DEBIT,Duplicate charge pattern,random,,18,12500.0,48000.0,28-35,3,budget,False,False,True,duplicate,
misc,general,Mutual Fund SIP HDFC,13778.0,DEBIT,Mutual Fund SIP HDFC — Investment,random,,21,16000.0,100000.0,22-28,2,moderate,False,False,False,,
shopping,retail,Myntra,2747.0,DEBIT,Myntra — Shopping,random,,14,10000.0,50000.0,22-28,3,budget,False,False,False,,
utility,bills,ACT Fibernet,1342.0,DEBIT,ACT Fibernet — Utilities,monthly,8,19,16000.0,100000.0,22-28,1,moderate,False,False,False,,
misc,general,ICICI Lombard Health,7528.0,DEBIT,ICICI Lombard Health — Health,random,,21,10000.0,50000.0,22-28,3,budget,False,False,False,,
health,wellness,Practo Consult,1127.0,DEBIT,Practo Consult — Health,random,,18,16000.0,100000.0,22-28,1,moderate,False,False,False,,
health,wellness,PharmEasy,1328.0,DEBIT,PharmEasy — Health,random,,13,16000.0,100000.0,22-28,1,moderate,False,False,False,,
transport,mobility,Rapido,37.0,DEBIT,Rapido — Transport,random,,16,10000.0,50000.0,28-35,2,budget,False,False,False,,
subscription,ott_or_saas,Gaana Plus,99.0,DEBIT,Auto-debit subscription renewal,monthly,18,16,20000.0,96000.0,35-45,2,moderate,False,True,False,,
shopping,retail,Ajio,1669.0,DEBIT,Ajio — Shopping,random,,14,10000.0,50000.0,22-28,2,budget,False,False,False,,
food,dining,Starbucks India,435.0,DEBIT,Starbucks India — Food,random,,18,16000.0,100000.0,22-28,1,moderate,False,False,False,,
misc,general,Urban Company,1025.0,DEBIT,Urban Company — Utilities,random,,10,32000.0,187500.0,35-45,1,premium,False,False,False,,
income,salary,Salary Credit — TCS,278085.0,CREDIT,Monthly salary NEFT,monthly,1,2,127500.0,345000.0,35-45,1,premium,False,False,False,,
health,wellness,Netmeds,1310.0,DEBIT,Netmeds — Health,random,,19,32000.0,187500.0,35-45,1,premium,False,False,False,,
utility,bills,Adani Electricity Mumbai,2278.0,DEBIT,Adani Electricity Mumbai — Utilities,monthly,23,10,60000.0,375000.0,35-45,1,premium,False,False,False,,
misc,general,Insurance LIC Premium,12912.0,DEBIT,Insurance LIC Premium — Bills,random,,17,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,Blinkit,520.0,DEBIT,Blinkit — Groceries,random,,19,60000.0,375000.0,35-45,1,premium,False,False,False,,
food,dining,BigBasket,3418.0,DEBIT,BigBasket — Groceries,random,,10,32000.0,187500.0,35-45,2,premium,False,False,False,,
entertainment,leisure,PVR Cinemas,431.0,DEBIT,PVR Cinemas — Entertainment,random,,12,16000.0,100000.0,28-35,1,moderate,False,False,False,,
fraud,duplicate_charge,Swiggy,11536.0,DEBIT,Duplicate charge pattern,random,,20,40000.0,180000.0,35-45,2,premium,False,False,True,duplicate,
entertainment,leisure,PVR Cinemas,946.0,DEBIT,PVR Cinemas — Entertainment,random,,14,10000.0,50000.0,22-28,2,budget,False,False,False,,
festival,holi,Big Bazaar Holi,1262.0,DEBIT,Seasonal spend (holi),seasonal,,12,20000.0,104000.0,28-35,3,moderate,False,False,False,,holi
misc,general,ICICI Lombard Health,4815.0,DEBIT,ICICI Lombard Health — Health,random,,17,16000.0,100000.0,22-28,2,moderate,False,False,False,,
shopping,retail,Ajio,4363.0,DEBIT,Ajio — Shopping,random,,13,10000.0,50000.0,22-28,3,budget,False,False,False,,
transport,mobility,Metro Recharge DMRC,506.0,DEBIT,Metro Recharge DMRC — Transport,random,,9,16000.0,100000.0,22-28,2,moderate,False,False,False,,
shopping,retail,Reliance Digital,1144.0,DEBIT,Reliance Digital — Shopping,random,,10,10000.0,50000.0,28-35,2,budget,False,False,False,,
food,dining,Chai Point,82.0,DEBIT,Chai Point — Food,random,,15,60000.0,375000.0,35-45,1,premium,False,False,False,,
misc,general,Insurance LIC Premium,10609.0,DEBIT,Insurance LIC Premium — Bills,random,,15,32000.0,187500.0,45-55,1,premium,False,False,False,,
fraud,duplicate_charge,Flipkart,6981.0,DEBIT,Duplicate charge pattern,random,,18,12500.0,48000.0,28-35,3,budget,False,False,True,duplicate,
shopping,retail,Flipkart,2908.0,DEBIT,Flipkart — Shopping,random,,10,16000.0,100000.0,28-35,2,moderate,False,False,False,,
utility,bills,Jio Prepaid Recharge,777.0,DEBIT,Jio Prepaid Recharge — Recharge,monthly,26,20,16000.0,100000.0,28-35,2,moderate,False,False,False,,
misc,general,Insurance LIC Premium,13209.0,DEBIT,Insurance LIC Premium — Bills,random,,21,60000.0,375000.0,35-45,2,premium,False,False,False,,
shopping,retail,Ajio,2781.0,DEBIT,Ajio — Shopping,random,,20,16000.0,100000.0,22-28,2,moderate,False,False,False,,
transport,mobility,Shell Petrol Pump,2116.0,DEBIT,Shell Petrol Pump — Transport,random,,19,32000.0,187500.0,45-55,1,premium,False,False,False,,
entertainment,leisure,PVR Cinemas,1253.0,DEBIT,PVR Cinemas — Entertainment,random,,17,32000.0,187500.0,28-35,1,premium,False,False,False,,
entertainment,leisure,BookMyShow,622.0,DEBIT,BookMyShow — Entertainment,random,,19,32000.0,187500.0,45-55,2,premium,False,False,False,,
food,dining,BigBasket,3505.0,DEBIT,BigBasket — Groceries,random,,22,32000.0,187500.0,45-55,2,premium,False,False,False,,
shopping,retail,Ajio,2278.0,DEBIT,Ajio — Shopping,random,,17,10000.0,50000.0,28-35,3,budget,False,False,False,,
entertainment,leisure,PVR Cinemas,1348.0,DEBIT,PVR Cinemas — Entertainment,random,,19,32000.0,187500.0,28-35,2,premium,False,False,False,,
shopping,retail,Amazon India,15085.0,DEBIT,Amazon India — Shopping,random,,10,10000.0,50000.0,22-28,2,budget,False,False,False,,
income,salary,Salary Credit — Infosys,135302.0,CREDIT,Monthly salary NEFT,monthly,1,0,68000.0,172500.0,45-55,1,premium,False,False,False,,
shopping,retail,Myntra,3321.0,DEBIT,Myntra — Shopping,random,,13,16000.0,100000.0,22-28,1,moderate,False,False,False,,
food,dining,Dunzo Daily,807.0,DEBIT,Dunzo Daily — Groceries,random,,13,16000.0,100000.0,35-45,2,moderate,False,False,False,,
shopping,retail,Reliance Digital,27990.0,DEBIT,Reliance Digital — Shopping,random,,9,16000.0,100000.0,28-35,3,moderate,False,False,False,,
fraud,duplicate_charge,Swiggy,11536.0,DEBIT,Duplicate charge pattern,random,,20,40000.0,180000.0,35-45,2,premium,False,False,True,duplicate,
entertainment,leisure,Insider.in Events,4711.0,DEBIT,Insider.in Events — Entertainment,random,,14,32000.0,187500.0,28-35,2,premium,False,False,False,,
utility,bills,Adani Electricity Mumbai,2242.0,DEBIT,Adani Electricity Mumbai — Utilities,monthly,18,13,16000.0,100000.0,22-28,3,moderate,False,False,False,,
transport,mobility,Rapido,107.0,DEBIT,Rapido — Transport,random,,18,16000.0,100000.0,28-35,2,moderate,False,False,False,,
food,dining,Blinkit,585.0,DEBIT,Blinkit — Groceries,random,,13,16000.0,100000.0,35-45,1,moderate,False,False,False,,
health,wellness,PharmEasy,1138.0,DEBIT,PharmEasy — Health,random,,19,32000.0,187500.0,28-35,1,premium,False,False,False,,
food,dining,Swiggy,513.0,DEBIT,Swiggy — Food,random,,21,60000.0,375000.0,45-55,2,premium,False,False,False,,
entertainment,leisure,Insider.in Events,3892.0,DEBIT,Insider.in Events — Entertainment,random,,15,16000.0,100000.0,28-35,2,moderate,False,False,False,,
food,dining,Chai Point,81.0,DEBIT,Chai Point — Food,random,,15,10000.0,50000.0,22-28,2,budget,False,False,False,,
emi,home_loan,SBI HOME LOAN,42534.0,DEBIT,Home loan EMI NACH,monthly,14,10,38500.0,247500.0,22-28,1,premium,True,False,False,,
entertainment,leisure,PVR Cinemas,1465.0,DEBIT,PVR Cinemas — Entertainment,random,,16,16000.0,100000.0,22-28,1,moderate,False,False,False,,
transport,mobility,Ola Cabs,607.0,DEBIT,Ola Cabs — Transport,random,,12,60000.0,375000.0,45-55,2,premium,False,False,False,,
income,salary,Salary Credit — Zomato,34195.0,CREDIT,Monthly salary NEFT,monthly,5,8,21250.0,46000.0,28-35,3,budget,False,False,False,,
utility,bills,MSEDCL Bill Pay,2781.0,DEBIT,MSEDCL Bill Pay — Utilities,monthly,28,22,16000.0,100000.0,22-28,2,moderate,False,False,False,,
transport,mobility,Uber India,534.0,DEBIT,Uber India — Transport,random,,20,32000.0,187500.0,45-55,1,premium,False,False,False,,
income,salary,Salary Credit — Razorpay,111571.0,CREDIT,Monthly salary NEFT,monthly,1,0,68000.0,172500.0,35-45,1,premium,False,False,False,,
shopping,retail,Nykaa,1843.0,DEBIT,Nykaa — Shopping,random,,17,32000.0,187500.0,35-45,1,premium,False,False,False,,
shopping,retail,Ajio,4823.0,DEBIT,Ajio — Shopping,random,,12,10000.0,50000.0,28-35,2,budget,False,False,False,,
emi,bike_loan,HDFC BIKE LOAN,3660.0,DEBIT,Bike loan EMI NACH,monthly,4,9,19600.0,126000.0,35-45,1,moderate,True,False,False,,
